crate	version	layer	git_repo	git_head	worktree_state	source_files	source_loc	inbound_rsomics_dependents	inbound_target_family_count	inbound_target_families	has_tests	has_compat	has_benches	has_origin	upstream_families	upstream_mentions	area_provisional	target_family_provisional	target_kind_provisional	routing_confidence	suggested_action_provisional	manifest_error
rsomics-correct-gc-bias	0.1.2	B	True	dd9e76be03ab4264d22a043e485085ef99273f4e	clean	5	840	0	0		True	True	True	True	deeptools	deeptools	epigenomic-signal	rsomics-signal	product	high	merge-into:rsomics-signal	-
rsomics-correspondence-analysis	0.1.2	B	True	0b0c456e74e570b731f7291e858670bce644001a	clean	4	650	0	0		True	True	True	True	scikit-bio	scipy|scikit-bio|biopython	ecology	rsomics-ecology	product	high	merge-into:rsomics-ecology	-
rsomics-count-matrix	0.1.1	B	True	9a92e84f4470baa5d62a6ebcde81d56e452ee86d	clean	3	161	0	0		True	True	True	False	featurecounts	featurecounts	bulk-expression	rsomics-count	product	high	merge-into:rsomics-count	-
rsomics-coverage-core	0.1.0	A	True	2dd61704c330fb53267a55b8bec9216559e04d9c	clean	1	183	1	1	rsomics-signal	True	False	False	True	deeptools	deeptools	foundation	rsomics-coverage-core	foundation	high	internalize-or-merge-review	-
rsomics-cpm	0.1.2	B	True	128e1f0e61070c7844b1fb74e2292280aff21216	clean	3	394	0	0		True	True	True	True	edger	edger	bulk-expression	rsomics-edger	product	high	merge-into:rsomics-edger	-
rsomics-cramervonmises	0.1.1	B	True	9b526716531c36c1f9f3438ac4b5fff49116210f	clean	6	795	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-csvio	0.4.5	A	True	0fccfb8cc2085a117ae88dc4b993c8b71b9c693b	clean	9	1348	9	1	rsomics-table	True	False	False	True	csvtk	csvtk	foundation	rsomics-csvio	foundation	high	internalize-or-merge-review	-
rsomics-cusp	0.1.0	B	True	7bc259333196d35b6a8eb287efde7854cf8011d8	clean	7	668	0	0		True	True	True	True	emboss	emboss	sequence-utilities	rsomics-seq	product	high	merge-into:rsomics-seq	-
rsomics-cut-tree	0.1.2	B	True	373bf1ff1fec80cca0cd7b27ec694254f3fd3ee9	clean	4	416	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-dag	0.1.1	B	True	45499c43e358d02b66bccab7bb4acd31da728293	dirty	2	319	0	0		True	True	True	True	networkx	networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-de-volcano	0.1.1	B	True	ce985969c2ba4b913d6c646b3e2c1c2d98af7c30	clean	3	180	0	0		True	True	True	False			de-reporting		capability-pool	high	internalize-or-discard-with-de-consumer	-
rsomics-debruijn	0.1.0	A	True	96743c6c519b1cc5d69307d58c2147b120965fdb	dirty	1	224	0	0		False	False	False	False			foundation	rsomics-debruijn	foundation	high	internalize-or-merge-review	-
